Name,Phone,Age,Class,Percentage
Gauri,9999999999.0,20.0,SY-AIML,92.5
Rahul,8888888888.0,21.0,SY-AIML,88.0
Amit,7777777777.0,19.0,SY-AIML,75.0
Sneha,6666666666.0,20.0,SY-DS,81.0
Ravi,5555555555.0,22.0,SY-CS,69.0
Priya,4444444444.0,20.0,SY-AIML,95.0
Ankit,3333333333.0,21.0,SY-CS,55.0
Neha,2222222222.0,20.0,SY-AIML,89.0
Kunal,1111111111.0,19.0,SY-DS,77.0
Pooja,9999999998.0,20.0,SY-CS,91.0
Unknown,9999991111.0,20.0,SY-AIML,85.0
Sanjay,nan,20.36,SY-CS,72.0
Meena,8888881111.0,19.0,Unknown,90.0
Rohit,7777771111.0,21.0,SY-AIML,78.76041666666667
Nisha,6666661111.0,20.36,SY-CS,66.0
Arjun,5555551111.0,20.0,SY-AIML,78.76041666666667
Divya,4444441111.0,19.0,Unknown,74.0
Varun,3333331111.0,20.0,SY-AIML,78.76041666666667
Sonal,2222221111.0,21.0,SY-CS,78.76041666666667
Aakash,1111111112.0,20.0,Unknown,70.0
Tina,9999992222.0,22.0,Unknown,83.0
Ishita,8888882222.0,19.0,SY-DS,68.0
Harsh,7777772222.0,20.0,SY-AIML,79.0
Maya,6666662222.0,21.0,SY-CS,88.0
Nikhil,5555552222.0,22.0,SY-AIML,60.0
Asha,4444442222.0,20.0,SY-CS,73.0
Ramesh,3333332222.0,19.0,SY-DS,64.0
Kriti,2222222223.0,21.0,SY-AIML,85.0
Om,1111112222.0,20.0,SY-CS,90.0
Simran,9999993333.0,22.0,SY-AIML,71.0
Aditya,8888883333.0,19.0,SY-DS,78.0
Kavya,7777773333.0,20.0,SY-AIML,84.0
Manish,6666663333.0,21.0,SY-CS,59.0
Ritika,5555553333.0,22.0,SY-DS,92.0
Shubham,4444443333.0,19.0,SY-AIML,67.0
Deepa,3333333334.0,20.0,SY-CS,80.0
Suresh,2222223333.0,21.0,SY-AIML,76.0
Payal,1111113333.0,22.0,SY-DS,88.0
Vikas,9999994444.0,20.0,SY-CS,70.0
Komal,8888884444.0,19.0,SY-AIML,93.0
Rajat,7777774444.0,20.0,SY-DS,65.0
Nidhi,6666664444.0,21.0,SY-AIML,82.0
Ashwin,5555554444.0,22.0,SY-CS,74.0
Tanvi,4444444445.0,19.0,SY-AIML,91.0
Abhishek,3333334444.0,20.0,SY-DS,69.0
Shreya,2222224444.0,21.0,SY-CS,87.0
Rohan,1111114444.0,22.0,SY-AIML,72.0
Anjali,9999995555.0,19.0,SY-DS,79.0
Mohit,8888885555.0,20.0,SY-CS,66.0
Sakshi,7777775555.0,21.0,SY-AIML,90.0
harsh,1234567890.0,21.0,Unknown,89.0
sakshi,1234567890.0,21.0,Unknown,99.0
